ID,FECHA,PL,XC,VL,CI,MT,CT,NV,RM,NT,TC,CH,CK,RC,HM,PT,MC,CJ
46,10/01/2017,14,20,0,4,5,4,0,0,10,16,1,13,0,8,0,0,0
27,11/01/2017,3,5,1,5,3,0,0,0,0,1,0,7,0,1,0,0,0
45,10/02/2017,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0
26,11/02/2017,3,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
25,11/03/2017,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
54,07/04/2017,0,4,3,2,1,1,0,0,1,2,0,1,0,0,0,0,0
44,10/06/2017,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0
24,11/07/2017,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
15,12/07/2017,4,6,5,4,0,0,0,0,5,0,0,3,0,0,0,0,0
43,10/08/2017,15,35,12,8,11,5,0,9,26,28,0,26,0,12,0,0,0
23,11/08/2017,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
14,12/08/2017,4,5,7,0,1,0,0,0,4,4,0,4,0,5,0,0,0
53,09/09/2017,10,5,0,0,5,0,0,7,0,9,0,12,0,0,0,0,0
42,10/09/2017,0,6,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
22,11/09/2017,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10/10/2017,0,5,1,0,4,0,0,0,0,1,0,3,0,1,0,0,0
21,11/10/2017,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0
13,12/10/2017,11,14,9,8,7,8,0,6,22,14,2,16,0,4,0,0,4
40,10/11/2017,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
39,10/12/2017,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
12,12/12/2017,4,3,4,0,0,2,0,0,3,2,0,1,0,3,0,0,3
122,02/01/2018,1,0,1,0,1,1,0,3,3,0,0,3,0,1,0,0,5
102,03/01/2018,0,2,1,0,0,0,0,1,4,2,0,2,0,0,0,0,1
141,01/02/2018,3,1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1
121,02/02/2018,5,0,4,1,1,0,0,2,3,1,1,1,0,3,0,0,6
101,03/02/2018,0,5,1,3,0,1,0,0,3,5,0,3,2,1,0,0,1
58,05/02/2018,0,2,0,1,2,0,0,0,2,0,0,4,0,3,1,0,0
140,01/03/2018,1,8,1,3,1,5,0,0,6,6,5,7,0,0,0,0,0
81,04/03/2018,0,3,0,0,0,0,0,0,6,1,0,4,0,2,0,1,1
57,05/03/2018,0,3,0,2,0,0,0,0,3,0,0,2,0,5,1,0,1
139,01/04/2018,0,3,1,2,0,4,0,0,5,3,2,3,0,0,0,0,0
100,03/04/2018,5,5,1,0,0,2,0,0,5,4,0,3,8,1,3,3,3
80,04/04/2018,0,1,0,2,3,0,0,0,1,3,1,3,4,0,0,1,1
56,05/04/2018,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
138,01/05/2018,1,1,1,4,0,1,0,0,3,7,0,2,0,0,0,0,0
99,03/05/2018,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1
79,04/05/2018,0,3,3,0,0,0,0,0,6,6,0,3,0,1,0,0,0
55,05/05/2018,4,6,1,0,0,0,0,2,6,17,1,2,0,4,5,0,2
120,02/06/2018,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1
98,03/06/2018,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0
78,04/06/2018,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,2,5
119,02/07/2018,0,2,0,0,0,0,1,1,6,3,0,6,0,3,0,0,3
97,03/07/2018,0,1,2,1,2,0,0,0,3,2,0,4,4,1,0,0,1
118,02/08/2018,0,1,1,1,0,0,0,2,0,1,0,1,0,1,0,0,1
96,03/08/2018,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1
117,02/09/2018,0,0,0,0,1,0,0,2,1,4,0,3,0,2,0,0,1
77,04/09/2018,3,2,0,0,0,0,0,0,0,0,0,7,3,0,3,0,1
137,01/10/2018,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2
76,04/10/2018,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
116,02/11/2018,8,18,11,8,2,2,0,4,13,13,0,6,0,7,0,0,1
75,04/11/2018,0,1,1,0,0,0,0,0,0,1,0,0,6,0,3,0,0
115,02/12/2018,0,1,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0
95,03/12/2018,3,2,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0
74,04/12/2018,0,4,2,0,0,0,0,0,2,2,0,0,2,2,0,1,2
136,1/16/18,0,0,2,0,0,0,0,0,4,5,0,2,0,0,0,0,0
