Fecha,Tipo,Cantidad
12/31/17,Dona Cookies &Cream,1
12/31/17,Dona Nutella,1
12/31/17,Dona de Menta,1
12/31/17,Dona de chocolate,1
12/31/17,Dona Espolvoreada,1
12/31/17,Dona maple con tocino,1
12/31/17,Dona maple con tocino,1
12/31/17,Dona Pie de Limon,1
12/31/17,Dona Espolvoreada,2
12/31/17,Dona de chocolate,1
12/31/17,Dona Crema Irlandesa,1
12/31/17,Dona maple con tocino,1
12/31/17,Dona Crema Irlandesa,1
12/31/17,Dona Cookies &Cream,1
12/31/17,Dona Espolvoreada,1
12/31/17,Dona maple con tocino,2
12/31/17,Dona Crema Irlandesa,1
12/31/17,Dona de Menta,1
12/31/17,Dona Nutella,1
12/31/17,Dona maple con tocino,1
12/31/17,Dona Nutella,1
12/31/17,Dona Pie de Limon,1
12/31/17,Dona de Menta,1
12/31/17,Dona de chocolate,1
12/31/17,Dona Crema Irlandesa,1
12/31/17,Dona maple con tocino,1
12/31/17,Dona de chocolate,1
12/31/17,Dona de Menta,1
12/31/17,Dona de chocolate,1
12/31/17,Dona Crema Irlandesa,1
12/31/17,Dona Cookies &Cream,1
12/31/17,Dona maple con tocino,1
12/31/17,Dona de Menta,1
12/31/17,Dona maple con tocino,1
12/31/17,Dona Espolvoreada,1
12/31/17,Dona Pie de Limon,1
12/31/17,Dona maple con tocino,1
12/31/17,Dona Nutella,1
12/31/17,Dona de chocolate,1
12/31/17,Dona Nutella,5
12/31/17,Dona Cookies &Cream,2
12/31/17,Dona Espolvoreada,1
12/31/17,Dona Espolvoreada,1
12/31/17,Dona Espolvoreada,1
12/29/17,Dona maple con tocino,1
12/29/17,Dona Cookies &Cream,1
12/29/17,Dona de chocolate,1
12/29/17,Dona Te chaí,1
12/29/17,Dona de chocolate,2
12/29/17,Dona maple con tocino,1
12/29/17,Dona Crema Irlandesa,1
12/29/17,Dona Nutella,1
12/29/17,Dona Nutella,1
12/29/17,Dona de chocolate,1
12/29/17,Dona Nutella,1
12/29/17,Dona maple con tocino,1
12/29/17,Dona Cookies &Cream,1
12/29/17,Dona Nutella,2
12/29/17,Dona maple con tocino,1
12/28/17,Dona Espolvoreada,1
12/28/17,Dona Te chaí,1
12/28/17,Dona maple con tocino,3
12/28/17,Dona Crema Irlandesa,1
12/28/17,Dona Nutella,1
12/28/17,Dona de chocolate,2
12/28/17,Dona Espolvoreada,2
12/28/17,Dona maple con tocino,2
12/28/17,Dona Cookies &Cream,2
12/28/17,Dona Nutella,2
12/28/17,Dona Crema Irlandesa,2
12/28/17,Dona Espolvoreada,1
12/28/17,Dona maple con tocino,1
12/28/17,Dona maple con tocino,1
12/28/17,Dona de chocolate,1
12/28/17,Dona maple con tocino,1
12/22/17,Dona maple con tocino,1
12/22/17,Dona Cotton Candy,1
12/22/17,Dona maple con tocino,2
12/22/17,Dona maple con tocino,1
12/22/17,Dona Cotton Candy,1
12/22/17,Dona Crema Irlandesa,1
12/22/17,Dona Nutella,1
12/22/17,Dona Espolvoreada,1
12/22/17,Dona de chocolate,1
12/22/17,Dona maple con tocino,1
12/22/17,Dona Nutella,1
12/22/17,Dona Nutella,1
12/22/17,Dona Cookies &Cream,1
12/22/17,Dona Nutella,2
12/22/17,Dona Cookies &Cream,1
12/22/17,Dona de Menta,1
12/22/17,Dona Crema Irlandesa,1
12/22/17,Dona maple con tocino,1
12/22/17,Dona Cotton Candy,2
12/22/17,Dona maple con tocino,1
12/22/17,Dona Cookies &Cream,1
12/22/17,Dona de Menta,1
12/22/17,Dona Crema Irlandesa,1
12/22/17,Dona Navideña,2
12/22/17,Dona de chocolate,1
12/22/17,Dona maple con tocino,1
12/22/17,Dona de chocolate,1
12/22/17,Dona maple con tocino,1
12/22/17,Dona de Menta,1
12/22/17,Dona de chocolate,1
12/22/17,Dona Espolvoreada,1
12/22/17,Dona Navideña,1
12/21/17,Dona Cookies &Cream,1
12/21/17,Dona de Menta,1
12/21/17,Dona Crema Irlandesa,1
12/21/17,Dona Navideña,1
12/21/17,Dona Espolvoreada,1
12/21/17,Dona Crema Irlandesa,1
12/21/17,Dona Cookies &Cream,1
12/21/17,Dona Crema Irlandesa,1
12/21/17,Dona Crema Irlandesa,1
12/21/17,Dona Cookies &Cream,1
12/21/17,Dona Navideña,1
12/21/17,Dona de chocolate,1
12/21/17,Dona Nutella,1
12/21/17,Dona Cookies &Cream,2
12/21/17,Dona de chocolate,1
12/21/17,Dona Pie de Limon,1
12/20/17,Dona Cookies &Cream,1
12/20/17,Dona Espolvoreada,1
12/20/17,Dona de chocolate,2
12/20/17,Dona maple con tocino,2
12/20/17,Dona Cookies &Cream,1
12/20/17,Dona Espolvoreada,1
12/20/17,Dona de Menta,1
12/20/17,Dona Pie de Limon,1
12/20/17,Dona Cookies &Cream,1
12/20/17,Dona Homero Simpson,1
12/20/17,Dona Navideña,1
12/20/17,Dona Nutella,2
12/20/17,Dona Navideña,1
12/20/17,Dona de chocolate,1
12/20/17,Dona Nutella,1
12/20/17,Dona maple con tocino,1
12/20/17,Dona Nutella,1
12/20/17,Dona Nutella,1
12/20/17,Dona Navideña,1
12/20/17,Dona Nutella,1
12/20/17,Dona Cookies &Cream,1
12/20/17,Dona Navideña,1
12/20/17,Dona Cookies &Cream,1
12/20/17,Dona Homero Simpson,1
12/20/17,Dona maple con tocino,2
12/20/17,Dona Cookies &Cream,1
12/20/17,Dona maple con tocino,3
12/20/17,Dona Cookies &Cream,1
12/20/17,Dona Nutella,1
12/20/17,Dona de chocolate,1
12/20/17,Dona Espolvoreada,1
12/20/17,Dona Cookies &Cream,1
12/20/17,Dona de chocolate,1
12/20/17,Dona maple con tocino,1
12/20/17,Dona Nutella,2
12/20/17,Dona maple con tocino,1
12/19/17,Dona de Menta,2
12/19/17,Dona Navideña,1
12/19/17,Dona de Menta,1
12/19/17,Dona de chocolate,1
12/19/17,Dona Espolvoreada,1
12/19/17,Dona de chocolate,1
12/19/17,Dona de chocolate,1
12/19/17,Dona Nutella,1
12/19/17,Dona Nutella,3
12/19/17,Dona Te chaí,2
12/19/17,Dona Navideña,1
12/19/17,Dona Cookies &Cream,1
12/19/17,Dona Nutella,1
12/19/17,Dona Crema Irlandesa,1
12/19/17,Dona Cookies &Cream,1
12/19/17,Dona Navideña,1
12/19/17,Dona de Menta,1
12/19/17,Dona Navideña,1
12/19/17,Dona Cookies &Cream,1
12/19/17,Dona maple con tocino,1
12/19/17,Dona Nutella,1
12/19/17,Dona Te chaí,1
12/19/17,Dona Espolvoreada,1
12/19/17,Dona Cookies &Cream,1
12/19/17,Dona Crema Irlandesa,1
12/19/17,Dona Espolvoreada,1
12/19/17,Dona maple con tocino,1
12/19/17,Dona Crema Irlandesa,2
12/19/17,Dona Espolvoreada,2
12/19/17,Dona de chocolate,2
12/19/17,Dona maple con tocino,2
12/19/17,Dona Cookies &Cream,4
12/19/17,Dona Espolvoreada,1
12/19/17,Dona de chocolate,1
12/19/17,Dona maple con tocino,2
12/19/17,Dona Cookies &Cream,2
12/19/17,Dona de chocolate,1
12/19/17,Dona maple con tocino,1
12/18/17,Dona Corazones Negros,1
12/18/17,Dona Nutella,1
12/18/17,Dona Espolvoreada,1
12/18/17,Dona Corazones Negros,1
